Timestamp,Fix Code,Fix Status
2025-07-16 17:17:06,2,DGPS
2025-07-16 17:17:07,5,RTK Float
2025-07-16 17:17:26,4,RTK Fixed
2025-07-17 11:49:47,5,RTK Float
2025-07-17 11:50:31,4,RTK Fixed
2025-07-17 12:24:57,5,RTK Float
2025-07-17 12:25:42,4,RTK Fixed
2025-07-17 14:25:32,5,RTK Float
2025-07-17 14:25:47,4,RTK Fixed
2025-07-17 15:48:34,5,RTK Float
2025-07-17 15:48:37,4,RTK Fixed
2025-07-17 16:27:51,5,RTK Float
2025-07-17 16:32:13,4,RTK Fixed
2025-07-17 17:10:23,5,RTK Float
2025-07-17 17:10:40,4,RTK Fixed
2025-07-17 18:28:57,5,RTK Float
2025-07-17 18:33:03,4,RTK Fixed
