[15:31:02] ,,,0.9,0.5,0.7,1*37
[15:31:03] $GNGSA,A,3,71,72,76,85,86,87,,,,,,,0.9,0.5,0.7,2*37
[15:31:04] $GNGSA,A,3,02,05,06,09,15,30,34,36,,,,,0.9,0.5,0.7,3*35
[15:31:05] $GNGSA,A,3,19,22,35,,,,,,,,,,0.9,0.5,0.7,4*31
[15:31:06] $GPGSV,3,1,11,20,85,002,45,11,60,051,34,05,53,227,46,12,33,228,33,1*62
[15:31:07] $GPGSV,3,2,11,25,31,270,21,44,30,229,33,06,29,076,40,29,25,313,28,1*63
[15:31:08] $GPGSV,3,3,11,09,16,044,32,19,10,134,32,13,09,163,27,1*5F
[15:31:09] $GPGSV,2,1,07,11,60,051,38,05,53,227,39,12,33,228,30,25,31,270,05,6*6D
[15:31:10] $GPGSV,2,2,07,06,29,076,31,29,25,313,27,09,16,044,26,6*58
[15:31:11] $GLGSV,3,1,09,86,61,033,47,71,61,106,50,87,39,320,46,70,33,039,,1*71
[15:31:11] $GLGSV,3,2,09,72,30,173,46,85,20,095,31,77,20,279,,76,10,234,23,1*7A
[15:31:13] $GLGSV,3,3,09,78,09,335,,1*42
[15:31:14] $GLGSV,2,1,05,71,61,106,47,86,61,033,40,72,30,173,44,85,20,095,32,3*75
[15:31:14] $GLGSV,2,2,05,76,10,234,25,3*4D
[15:31:15] $GAGSV,3,1,10,34,67,016,47,30,39,234,41,15,38,286,32,05,33,111,43,7*7A
[15:31:16] $GAGSV,3,2,10,27,31,298,,18,27,136,35,36,26,073,41,09,21,053,34,7*72
[15:31:18] $GAGSV,3,3,10,02,11,185,32,06,08,034,41,7*71
[15:31:19] $GAGSV,3,1,09,34,67,016,35,30,39,234,44,15,38,286,37,05,33,111,44,2*75
[15:31:20] $GAGSV,3,2,09,18,27,136,42,36,26,073,42,09,21,053,39,02,11,185,37,2*7F
[15:31:21] $GAGSV,3,3,09,06,08,034,40,2*42
[15:31:21] $GBGSV,3,1,10,35,73,082,47,19,56,075,42,22,47,175,50,12,26,304,,1*74
[15:31:21] $GBGSV,3,2,10,29,16,113,,20,16,039,,24,09,270,,21,03,202,,1*7C
[15:31:22] $GBGSV,3,3,10,25,02,319,,34,01,299,,1*7D
[15:31:23] $GNRMC,193101.000,A,4020.7249028,N,08007.7283178,W,000.0,000.0,070525,,,A,V*1D
[15:31:24] $GNVTG,000.0,T,,M,000.0,N,000.0,K,A*13
[15:31:25] $GPGGA,123348.240,4020.7249028,N,08007.7283178,W,1,27,0.5,325.553,M,-33.184,M,,0000*6B
[15:31:26] $GNRMC,123348.240,A,4020.7249028,N,08007.7283178,W,000.0,000.0,260625,,,A,V*1F
[15:31:27] $GNVTG,000.0,T,,,M,000.0,N,000.1,K,A*3E
[15:31:28] $GPGGA,193101.040,4020.7249027,N,08007.7283177,W,1,27,0.5,325.554,M,-33.184,M,,0000*6A
[15:31:29] $GNRMC,193101.040,A,4020.7249027,N,08007.7283177,W,000.0,000.0,070525,,,A,V*19
[15:31:30] $GNVTG,000.0,T,,,M,000.0,N,000.1,K,A*3E
