sequence,include,reverse,scanline,start_lat,start_lon,end_lat,end_lon,start_east_m,start_north_m,end_east_m,end_north_m,length_m,notes
1,n,n,1,40.485418887,-80.332369763,40.485402756,-80.332364120,4.694,-23.071,5.171,-24.854,1.846,auto-excluded after 3.00 m trim at each end: shorter than 2.00 m
2,y,n,2,40.485399905,-80.332375235,40.485553156,-80.332428847,4.230,-25.169,-0.309,-8.229,17.538,trimmed 3.00 m at each end
3,y,n,3,40.485571010,-80.332447206,40.485397054,-80.332386351,-1.863,-6.255,3.289,-25.485,19.907,trimmed 3.00 m at each end
4,y,n,4,40.485394203,-80.332397466,40.485569134,-80.332458662,2.348,-25.800,-2.833,-6.463,20.019,trimmed 3.00 m at each end
5,y,n,5,40.485567257,-80.332470119,40.485391352,-80.332408581,-3.803,-6.670,1.407,-26.115,20.130,trimmed 3.00 m at each end
6,y,n,6,40.485388500,-80.332419697,40.485565380,-80.332481575,0.466,-26.430,-4.773,-6.878,20.242,trimmed 3.00 m at each end
7,y,n,7,40.485563503,-80.332493031,40.485385649,-80.332430812,-5.743,-7.085,-0.475,-26.745,20.353,trimmed 3.00 m at each end
8,y,n,8,40.485382798,-80.332441927,40.485561626,-80.332504487,-1.416,-27.060,-6.713,-7.293,20.465,trimmed 3.00 m at each end
9,y,n,9,40.485559749,-80.332515943,40.485379947,-80.332453042,-7.683,-7.500,-2.357,-27.376,20.576,trimmed 3.00 m at each end
10,y,n,10,40.485377095,-80.332464158,40.485557872,-80.332527399,-3.298,-27.691,-8.653,-7.708,20.688,trimmed 3.00 m at each end
11,y,n,11,40.485555995,-80.332538855,40.485374244,-80.332475273,-9.623,-7.915,-4.240,-28.006,20.799,trimmed 3.00 m at each end
12,y,n,12,40.485371393,-80.332486388,40.485554118,-80.332550311,-5.181,-28.321,-10.593,-8.123,20.911,trimmed 3.00 m at each end
13,y,n,13,40.485552241,-80.332561768,40.485368542,-80.332497504,-11.563,-8.330,-6.122,-28.636,21.022,trimmed 3.00 m at each end
14,y,n,14,40.485365690,-80.332508619,40.485550364,-80.332573224,-7.063,-28.951,-12.533,-8.538,21.134,trimmed 3.00 m at each end
15,y,n,15,40.485548487,-80.332584680,40.485368304,-80.332521646,-13.503,-8.745,-8.166,-28.663,20.620,trimmed 3.00 m at each end
