waypoint,kind,east_m,north_m,lat,lon,yaw_rad,lookahead_m,speed_mps,local_radius_m
1,headland,0.035,-4.002,40.485591392,-80.332424788,5.037478,2.00,0.50,
2,headland,0.194,-4.476,40.485587110,-80.332422904,5.037478,2.00,0.50,
3,headland,0.354,-4.949,40.485582827,-80.332421019,5.037478,2.00,0.50,
4,headland,0.514,-5.423,40.485578544,-80.332419134,5.037478,2.00,0.50,
5,headland,0.673,-5.896,40.485574261,-80.332417250,5.037478,2.00,0.50,
6,headland,0.833,-6.370,40.485569978,-80.332415365,5.037478,2.00,0.50,
7,headland,0.992,-6.843,40.485565695,-80.332413480,5.037478,2.00,0.50,
8,headland,1.152,-7.316,40.485561413,-80.332411596,5.037478,2.00,0.50,
9,headland,1.311,-7.790,40.485557130,-80.332409711,5.037478,2.00,0.50,
10,headland,1.471,-8.263,40.485552847,-80.332407827,5.037478,2.00,0.50,
11,headland,1.631,-8.737,40.485548564,-80.332405942,5.037478,2.00,0.50,
12,headland,1.790,-9.210,40.485544281,-80.332404057,5.037478,2.00,0.50,
13,headland,1.950,-9.683,40.485539999,-80.332402173,5.037478,2.00,0.50,
14,headland,2.109,-10.157,40.485535716,-80.332400288,5.037478,2.00,0.50,
15,headland,2.269,-10.630,40.485531433,-80.332398403,5.037478,2.00,0.50,
16,headland,2.428,-11.104,40.485527150,-80.332396519,5.037478,2.00,0.50,
17,headland,2.588,-11.577,40.485522867,-80.332394634,5.037478,2.00,0.50,
18,headland,2.747,-12.051,40.485518585,-80.332392750,5.037478,2.00,0.50,
19,headland,2.907,-12.524,40.485514302,-80.332390865,5.037478,2.00,0.50,
20,headland,3.067,-12.997,40.485510019,-80.332388980,5.037478,2.00,0.50,
21,headland,3.226,-13.471,40.485505736,-80.332387096,5.037478,2.00,0.50,
22,headland,3.386,-13.944,40.485501453,-80.332385211,5.037478,2.00,0.50,
23,headland,3.545,-14.418,40.485497171,-80.332383326,5.037478,2.00,0.50,
24,headland,3.705,-14.891,40.485492888,-80.332381442,5.037478,2.00,0.50,
25,headland,3.864,-15.365,40.485488605,-80.332379557,5.037478,2.00,0.50,
26,headland,4.024,-15.838,40.485484322,-80.332377672,5.037478,2.00,0.50,
27,headland,4.184,-16.311,40.485480039,-80.332375788,5.037478,2.00,0.50,
28,headland,4.343,-16.785,40.485475756,-80.332373903,5.037478,2.00,0.50,
29,headland,4.503,-17.258,40.485471474,-80.332372019,5.037478,2.00,0.50,
